# Figma Icons Outlined (984:12) frame positions: name|y|x
# Regenerate groups in manifest via write_icons_manifest() in export_figma_icons.py
Chevron left large Icon|373.32098388671875|74.185546875
Chevron up large Icon|373.32098388671875|206.6339111328125
Chevron down large Icon|373.32098388671875|471.5306396484375
Chevron right large Icon|373.32098388671875|339.082275390625
chevron-up Icon|371|604.5306396484375
chevron-down Icon|371|737.5306396484375
chevron-left Icon|371|870.5306396484375
chevron-right Icon|371|993.923828125
chevrons-left|371|1113.7119140625
chevrons-right|371|1230.5
Arrow Back Up Icon|474.53082275390625|74.185546875
Arrow Left Icon|474.53082275390625|207.185546875
Arrow Right Icon|474.53082275390625|340.185546875
Arrows Shuffle Icon|474.53082275390625|471.5306396484375
Arrows Sort Icon|474.53082275390625|737.5306396484375
Sort Icon|474.53082275390625|870.5306396484375
Switch Horizontal Icon|474.53082275390625|604.5306396484375
Arrow Narrow Up Icon|475|993.923828125
Arrow Narrow Down Icon|474.53082275390625|1113.7119140625
Trending Down Icon|569.5308227539062|73.082275390625
Trending Up Icon|569.5308227539062|206.082275390625
Circle Check Icon|788|76.185546875
Circle x Icon|788|196.185546875
Circle Minus Icon|788|324.185546875
Circle Info Icon|788|452.185546875
Circle Alert Icon|788|580.185546875
Circle Help Icon|788|708.185546875
Circle Alert Triangle Icon|788|836.185546875
Upload Icon|1053|76.185546875
Download Icon|1053|195.185546875
Export Icon|1053|314.185546875
External link Icons Icon|1053|433.185546875
Minimize Arrows Icon|1053|552.185546875
Maximize Arrow Icon|1053|671.185546875
Reload Icon|1053|790.185546875
Refresh Icons|1053|909.185546875
Viewport Tall Icon|1053|1028.185546875
Viewport Wide Icon|1053|1154.185546875
Viewport Narrow Icon|1053|1284.5
Close Icon|1169|76.185546875
Minus Icon|1169|195.185546875
Plus Icon|1169|318.185546875
Eye Icon|1169|433.185546875
Eye Closed Icon|1169|552.185546875
Heart Icon|1169|671.185546875
Current Location Icon|1169|790.185546875
Link Icon|1169|909.185546875
Attach Icon|1169|1028.185546875
Share Icon|1169|1154.185546875
Layers Linked Icon|1169|1285.5
Trash Icon|1169|1404.5
Settings Icon|1285|76.185546875
Search Icon|1285|195.185546875
Bell Icon|1285|314.185546875
Home Icon|1285|433.185546875
Filter Icon|1285|552.185546875
Edit Icon|1285|671.185546875
Copy Icon|1285|790.185546875
Menu Icon|1285|909.185546875
Dots Icon|1285|1028.185546875
File Close Icon|1401|76.185546875
Spreadsheet Icon|1401|195.185546875
Description Icon|1401|314.185546875
Calendar Icon|1517|76.185546875
Calendar Check Icon|1517|195.185546875
Clock Hour  Icon Icon|1517|314.185546875
User Icon|1760.723388671875|74.185546875
Message Icon Icon|1760.723388671875|202.185546875
Message Circle Icon Icon|1760.723388671875|330.185546875
Microphone Icon Icon|1760.723388671875|458.185546875
Lock Password Icon Icon|1760.723388671875|586.185546875
Bookmark Icon|1760.723388671875|714.185546875
Bulb Icon|1760.723388671875|844.185546875
Report Analytics Icon Icon|1760.723388671875|1102.185546875
Activity Icon|1760.723388671875|975.0283203125
Task|1760.723388671875|1233.028564453125
Task Check Icon|1760.723388671875|1360.185546875
Assembly Icon|1880.32861328125|74.185546875
Category + Icons|1880.32861328125|202.185546875
Category Icon|1880.32861328125|330.185546875
Layout Icon|1880.32861328125|458.185546875
Table Icon|1880.32861328125|586.185546875
Layout Rows Icon|1880.32861328125|714.185546875
Tag Icon|1880.32861328125|844.185546875
Pinned Icon|1880.32861328125|974.87109375
Pin Icon|1880.32861328125|1102.0283203125
Text Icon|1880.32861328125|1224.185546875
WWW Icon|2128.86767578125|76.185546875
Box Graph Icon|2128.86767578125|204.185546875
Cohort Chart Icon|2128.86767578125|332.185546875
Sitemap Icon|2128.86767578125|460.185546875
Pie Chart Icon|2128.86767578125|588.185546875
Donut Chart Icon|2128.86767578125|716.185546875
Bar Chart Center Icon|2128.86767578125|844.185546875
Bar Chart Ascending Icon|2128.86767578125|972.185546875
Chart Area Line Icon|2128.86767578125|1100.185546875
Graph Icon|2128.86767578125|1228.185546875
Git Merge Icon|2347.015625|76.185546875
Git Fork Icon|2347.015625|204.185546875
Hierarchy Icon|2347.015625|332.185546875
Branch Icon|2347.015625|460.185546875
Merge Icon|2347.015625|579.9427490234375
Polygon Icon|2347.015625|707.9427490234375
Code Dots Icon|2545.47607421875|76.185546875
Code Circle Icon|2545.47607421875|195.880859375
Code Circle 2 Icon|2545.47607421875|316.1904296875
Code Icon|2545.47607421875|441.4775085449219
Codeblock Icon|2545.47607421875|566.7645263671875
Cloud Check Icon|2757.60498046875|71.108154296875
Cloud Code Icon|2757.60498046875|196.108154296875
Cloud Upload Icon|2757.60498046875|318.9427490234375
Cloud Download Icon|2757.60498046875|444.3536376953125
Cloud Data Connection Icon|2757.60498046875|566.7645263671875
Cloud Computing Icon|2757.60498046875|691.7645263671875
Cloud Icon|2757.60498046875|818.7645263671875
Brain Icon Icon|2962.0849609375|68.557861328125
Sparkles-2 Icon|2962.12255859375|190.63323974609375
Sparkles-3 Icon|2962.12255859375|316.63323974609375
File Sparkles Icon|2962.12255859375|437.68414306640625
Open AI Icon|3186.84375|68.557861328125
DeepSeek Icon|3186.84375|188.362548828125
Anthropic Icon|3186.84375|312.362548828125
Google Icon|3186.84375|436.467529296875
Github Icon|3186.84375|560.847412109375
Huggingface Icon|3186.84375|679.9322509765625
Data Icon|3470.037109375|68.557861328125
Database Icon|3470.037109375|196.557861328125
Model Icon|3470.037109375|590.923828125
Rocket Icon|3470.037109375|324.557861328125
Train Icon|3470.037109375|450.657470703125
